,Primary Instructor,Course Title,Subject,Number,Overall_GPA,Total_Students,A_range,B_range,C_range,D_range,F_range,YearTerm
109,"Nawaz, Tayyab",Linear Algebra w Computat Appl,MATH,257,3.229248039215686,143,47.46078431372549,32.98039215686275,14.686274509803923,3.4705882352941178,1.4019607843137254,2
110,"Nguyen, Ha Khanh",Data Science Discovery,STAT,107,3.287793655543917,286,66.7913611651454,14.272532295875106,8.15252631053918,4.371789116664172,6.411791111776148,2
111,"Nikolaev, Igor G",Calculus II,MATH,231,3.6837310606060605,57,84.0909090909091,6.628787878787879,9.280303030303031,0.0,0.0,2
112,"O'Brien, Matthew J",Principles of Composition,RHET,105,3.238095238095238,21,52.38095238095239,38.095238095238095,0.0,0.0,9.523809523809524,1
113,"O'Brien, Valerie E",Principles of Composition,RHET,105,3.508571428571429,21,66.66666666666666,28.57142857142857,0.0,4.761904761904762,0.0,1
114,"O'Dell, Benjamin D",Principles of Composition,RHET,105,3.485454545454545,22,68.18181818181817,18.181818181818183,13.636363636363635,0.0,0.0,1
115,"Odom, Michael J",Principles of Composition,RHET,105,3.1960197628458498,112,40.98814229249012,49.1699604743083,8.063241106719367,0.8695652173913043,0.9090909090909092,5
116,"Oikhberg, Timur",Calculus II,MATH,231,2.601274718588379,382,24.150233703017395,35.43297286832425,23.702187681500124,11.04350471554609,5.671101031612136,2
117,"Olinger, Andrea",Principles of Composition,RHET,105,3.7308441558441556,107,81.21212121212122,15.974025974025974,0.9523809523809523,0.9090909090909092,0.9523809523809523,5
118,"Oliverio, Lisa",Principles of Composition,RHET,105,3.318636363636364,22,72.72727272727273,13.636363636363635,0.0,4.545454545454546,9.090909090909092,1
119,"Oneil, John C",Principles of Composition,RHET,105,3.5362121212121216,66,74.24242424242424,16.666666666666668,7.575757575757575,0.0,1.5151515151515154,3
120,"Owens, Anne C",Principles of Composition,RHET,105,3.2122727272727274,22,54.54545454545454,31.818181818181817,0.0,9.090909090909092,4.545454545454546,1
121,"Pan, Ziying",Calculus II,MATH,231,3.2407999999999997,25,64.0,20.0,8.0,0.0,8.0,1
122,"Panagiotopoulos, Aristote",Calculus II,MATH,231,3.1300000000000003,23,43.47826086956522,26.08695652173913,26.08695652173913,4.3478260869565215,0.0,1
123,"Park, Hyunchul",Calculus II,MATH,231,3.072173913043478,46,43.47826086956522,26.08695652173913,21.73913043478261,8.695652173913043,0.0,2
124,"Penn, Darren K",Principles of Composition,RHET,105,3.2726136363636362,88,44.31818181818182,42.04545454545455,11.363636363636365,0.0,2.272727272727273,4
125,"Petrickova, Sarka",Calculus II,MATH,231,2.7692359293268787,1646,33.372864875490016,30.404299614297276,21.881657904624895,10.430350349049169,3.9108272565386497,9
126,"Placzek, Laura E",Calculus II,MATH,231,3.1450000000000005,226,48.67256637168141,30.53097345132743,14.15929203539823,4.424778761061947,2.2123893805309733,1
127,"Prendergast, Catherine J",Principles of Composition,RHET,105,3.6218181818181816,22,68.18181818181817,31.818181818181817,0.0,0.0,0.0,1
128,"Price, Julie P",Principles of Composition,RHET,105,3.8186363636363634,22,86.36363636363636,13.636363636363635,0.0,0.0,0.0,1
129,"Ricketts, Scott",Principles of Composition,RHET,105,3.2941883116883117,43,46.32034632034632,46.64502164502165,4.761904761904762,0.0,2.272727272727273,2
130,"Ridgway, Franklin W",Principles of Composition,RHET,105,3.547607048748353,88,70.48042537172972,26.05166572557877,1.0869565217391304,0.0,2.380952380952381,4
131,"Riecker, Micah D",Principles of Composition,RHET,105,3.7581818181818183,22,95.45454545454545,0.0,0.0,0.0,4.545454545454546,1
132,"Riede, Austin N",Principles of Composition,RHET,105,3.5004545454545455,22,81.81818181818183,9.090909090909092,0.0,0.0,9.090909090909092,1
133,"Rios, Francisco R",Calculus II,MATH,231,2.7403125,32,31.25,31.25,25.0,12.5,0.0,1
134,"Romney, Matthew D",Calculus II,MATH,231,2.857142857142857,56,35.714285714285715,28.57142857142857,25.0,7.142857142857142,3.571428571428571,1
135,"Rosell, Carla B",Principles of Composition,RHET,105,3.317619047619048,21,42.857142857142854,47.61904761904761,9.523809523809524,0.0,0.0,1
136,"Rouse, Jeremy A",Calculus II,MATH,231,2.5945142857142858,175,24.571428571428573,32.0,28.57142857142857,10.285714285714285,4.571428571428571,1
137,"Rubins, John",Principles of Composition,RHET,105,3.7122727272727274,22,77.27272727272727,18.181818181818183,4.545454545454546,0.0,0.0,1
138,"Ruiz, Ariana A",Principles of Composition,RHET,105,3.206666666666667,21,38.095238095238095,47.61904761904761,14.285714285714285,0.0,0.0,1
139,"Runkle, Stephen A",Principles of Composition,RHET,105,3.3074715320910975,261,34.070518853127545,62.120427881297445,3.0334399899617295,0.37878787878787884,0.3968253968253968,12
140,"Samanie, Rachel A",Principles of Composition,RHET,105,3.6218181818181816,22,68.18181818181817,31.818181818181817,0.0,0.0,0.0,1
141,"Sanders, John T",Principles of Composition,RHET,105,3.712579051383399,45,88.83399209486166,8.992094861660078,0.0,0.0,2.1739130434782608,2
